2013-02-23 23:07:03 985ms | Event (core/after_facebook_initialization) triggered.
2013-02-23 23:07:05 718ms | Event (core/after_page_processed) triggered.
2013-02-23 23:07:11 150ms | Event (core/after_facebook_initialization) triggered.
2013-02-23 23:07:13 565ms | Event (core/after_page_processed) triggered.
2013-02-23 23:07:17 444ms | Event (core/after_facebook_initialization) triggered.
2013-02-23 23:07:18 615ms | Event (core/after_page_processed) triggered.
2013-02-23 23:07:24 216ms | Event (core/after_facebook_initialization) triggered.
2013-02-23 23:07:24 545ms | Event (core/after_page_processed) triggered.
2013-02-25 13:01:47 383ms | Event (core/after_facebook_initialization) triggered.
2013-02-25 13:01:52 421ms | Event (core/after_page_processed) triggered.
2013-03-06 14:59:51 149ms | Event (core/after_facebook_initialization) triggered.
2013-03-06 14:59:58 205ms | Event (core/after_page_processed) triggered.
2013-03-06 15:00:40 915ms | Event (core/after_facebook_initialization) triggered.
2013-03-06 15:00:41 910ms | Event (core/after_page_processed) triggered.
2013-03-06 15:00:45 484ms | Event (core/after_facebook_initialization) triggered.
2013-03-06 15:00:45 847ms | Event (core/after_page_processed) triggered.
2013-03-06 15:01:23 200ms | Event (core/after_facebook_initialization) triggered.
2013-03-06 15:01:23 540ms | Event (core/after_page_processed) triggered.
2013-03-06 15:02:19 147ms | Event (core/after_facebook_initialization) triggered.
2013-03-06 15:02:19 484ms | Event (core/after_page_processed) triggered.
2013-03-06 15:03:39 723ms | Event (core/after_facebook_initialization) triggered.
2013-03-06 15:03:40 7ms | Event (core/after_page_processed) triggered.
2013-03-06 15:03:42 870ms | Event (core/after_facebook_initialization) triggered.
2013-03-06 15:03:43 278ms | Event (core/after_page_processed) triggered.
2013-03-06 15:20:49 507ms | Event (core/after_facebook_initialization) triggered.
2013-03-06 15:20:49 853ms | Event (core/after_page_processed) triggered.
2013-03-06 15:21:05 883ms | Event (core/after_facebook_initialization) triggered.
2013-03-06 15:21:06 313ms | Event (core/after_page_processed) triggered.
2013-03-06 15:24:38 534ms | Event (core/after_facebook_initialization) triggered.
2013-03-06 15:24:38 901ms | Event (core/after_page_processed) triggered.
2013-03-06 15:25:21 247ms | Event (core/after_facebook_initialization) triggered.
2013-03-06 15:25:21 606ms | Event (core/after_page_processed) triggered.
2013-03-06 15:25:29 435ms | Event (core/after_facebook_initialization) triggered.
2013-03-06 15:25:29 811ms | Event (core/after_page_processed) triggered.
2013-03-06 15:25:44 626ms | Event (core/after_facebook_initialization) triggered.
2013-03-06 15:25:44 804ms | Event (core/after_facebook_initialization) triggered.
